timestamp,sessionId,userChoice,computerChoice,result,userScore,computerScore,userChoiceLabel,computerChoiceLabel,resultLabel,userChoice_prev_1,computerChoice_prev_1,userChoice_prev_2,computerChoice_prev_2,userChoice_prev_3,computerChoice_prev_3,cluster
2025-05-19T10:23:43.014Z,session_1747649995288,paper,paper,It is a tie..!,13,17,0,0,0,2.0,2.0,0.0,2.0,1.0,0.0,1
2025-05-19T10:23:43.940Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,13,18,1,0,-1,0.0,0.0,2.0,2.0,0.0,2.0,1
2025-05-19T10:23:45.692Z,session_1747649995288,scissor,rock,Oops! You lose...! rock beats scissor,13,19,2,1,-1,1.0,0.0,0.0,0.0,2.0,2.0,1
2025-05-19T10:23:46.636Z,session_1747649995288,paper,rock,Hurrah! You win..! paper beats rock,14,19,0,1,1,2.0,1.0,1.0,0.0,0.0,0.0,0
2025-05-19T10:23:47.303Z,session_1747649995288,paper,rock,Hurrah! You win..! paper beats rock,15,19,0,1,1,0.0,1.0,2.0,1.0,1.0,0.0,0
2025-05-19T10:23:47.895Z,session_1747649995288,paper,paper,It is a tie..!,15,19,0,0,0,0.0,1.0,0.0,1.0,2.0,1.0,1
2025-05-19T10:23:49.265Z,session_1747649995288,paper,paper,It is a tie..!,15,19,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,1
2025-05-19T10:23:49.584Z,session_1747649995288,paper,rock,Hurrah! You win..! paper beats rock,16,19,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0
2025-05-19T10:23:49.773Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,16,20,0,2,-1,0.0,1.0,0.0,0.0,0.0,0.0,2
2025-05-19T10:23:49.933Z,session_1747649995288,paper,paper,It is a tie..!,16,20,0,0,0,0.0,2.0,0.0,1.0,0.0,0.0,1
2025-05-19T10:23:50.152Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,16,21,0,2,-1,0.0,0.0,0.0,2.0,0.0,1.0,2
2025-05-19T10:23:50.991Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,16,22,1,0,-1,0.0,2.0,0.0,0.0,0.0,2.0,1
2025-05-19T10:23:52.359Z,session_1747649995288,scissor,paper,Hurrah! You win..! scissor beats paper,17,22,2,0,1,1.0,0.0,0.0,2.0,0.0,0.0,0
2025-05-19T10:25:09.331Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,18,22,1,2,1,2.0,0.0,1.0,0.0,0.0,2.0,0
2025-05-19T10:25:11.633Z,session_1747649995288,scissor,paper,Hurrah! You win..! scissor beats paper,19,22,2,0,1,1.0,2.0,2.0,0.0,1.0,0.0,0
2025-05-19T10:25:13.273Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,19,23,0,2,-1,2.0,0.0,1.0,2.0,2.0,0.0,2
2025-05-19T10:25:14.625Z,session_1747649995288,rock,rock,It is a tie..!,19,23,1,1,0,0.0,2.0,2.0,0.0,1.0,2.0,1
